#t Vm Li6 Li7 Q A delta7 Li
1110 -7.30177205436372 0.990956075176813 12.0581062124305 133.154756488114 20 12.3930114480089 13.0490622876073
1115 -7.32694982809528 0.993135079959409 12.0846895370533 133.121217192028 20 12.398780106236 13.0778246170127
1120 -7.35227797676569 0.995309688619509 12.1112193494719 133.087707273706 20 12.4045219263484 13.1065290380914
1125 -7.37775198985698 0.997479959146403 12.1376963535002 133.054226827121 20 12.410237007918 13.1351763126466
1130 -7.40336745203474 0.999645948437214 12.1641212397094 133.020775942526 20 12.4159254515586 13.1637671881466
1135 -7.42912004130633 1.00180771231722 12.1904946856741 132.98735470653 20 12.4215873588829 13.1923023979913
1140 -7.45500552721195 1.00396530555985 12.2168173562149 132.953963202182 20 12.4272228324591 13.2207826617748
1145 -7.48101976904781 1.00611878190629 12.2430899036361 132.92060150905 20 12.4328319757725 13.2492086855424
1150 -7.50715871412123 1.0082681940848 12.2693129679595 132.8872697033 20 12.4384148931831 13.2775811620443
1155 -7.53341839603683 1.01041359382965 12.2954871771543 132.85396785777 20 12.4439716898861 13.3059007709839
1160 -7.55979493301364 1.01255503189978 12.3216131473627 132.820696042047 20 12.4495024718754 13.3341681792625
1165 -7.58628452623246 1.01469255809706 12.347691483122 132.787454322541 20 12.4550073459031 13.3623840412191
1170 -7.61288345821302 1.0168262212843 12.3737227775822 132.754242762555 20 12.4604864194449 13.3905489988665
1175 -7.63958809122064 1.01895606940293 12.3997076127204 132.721061422355 20 12.4659398006641 13.4186636821234
1180 -7.66639486570159 1.02108214949031 12.4256465595512 132.687910359241 20 12.4713675983743 13.4467287090415
1185 -7.69330029874709 1.02320450769684 12.4515401783329 132.654789627617 20 12.476769922007 13.4747446860297
1190 -7.72030098258515 1.02532318930264 12.4773890187711 132.621699279051 20 12.4821468815768 13.5027122080738
1195 -7.74739358310005 1.02743823873407 12.5031936202179 132.588639362344 20 12.4874985876491 13.530631858952
1200 -7.77457483837886 1.02954969957985 12.5289545118675 132.555609923596 20 12.4928251513079 13.5585042114473
1205 -7.80184155728464 1.03165761460695 12.554672212949 132.522611006262 20 12.4981266841238 13.5863298275559
1210 -7.82919061805588 1.03376202577614 12.580347232915 132.489642651219 20 12.5034032981239 13.6141092586912
1215 -7.85661896693169 1.03586297425739 12.6059800716277 132.456704896825 20 12.5086551057623 13.6418430458851
1220 -7.88412361680242 1.03796050044481 12.6315712195404 132.423797778974 20 12.5138822198896 13.6695317199852
1225 -7.9117016458852 1.04005464397146 12.6571211578774 132.390921331157 20 12.5190847537247 13.6971758018488
1230 -7.93935019642404 1.04214544372389 12.6826303588088 132.358075584519 20 12.5242628208282 13.7247758025327
1235 -7.96706647341404 1.04423293785629 12.7080992856241 132.325260567911 20 12.5294165350738 13.7523322234804
1240 -7.99484774334938 1.04631716380457 12.7335283929009 132.292476307946 20 12.5345460106216 13.7798455567055
1245 -8.0226913329946 1.04839815830003 12.758918126672 132.259722829051 20 12.5396513618943 13.8073162849721
1250 -8.05059462817887 1.05047595738285 12.7842689245882 132.227000153521 20 12.5447327035486 13.8347448819711
1255 -8.07855507261276 1.05255059641535 12.8095812160792 132.194308301567 20 12.5497901504528 13.8621318124946
1260 -8.10657016672722 1.05462211009499 12.834855422511 132.161647291368 20 12.5548238176632 13.889477532606
1265 -8.1346374665344 1.05669053246707 12.8600919573405 132.129017139119 20 12.5598338203987 13.9167824898076
1270 -8.1627545825098 1.05875589693735 12.8852912262675 132.096417859077 20 12.5648202740198 13.9440471232048
1275 -8.19091917849556 1.06081823628427 12.9104536273836 132.06384946361 20 12.5697832940057 13.9712718636679
1280 -8.21912897062445 1.06287758267106 12.9355795513187 132.031311963241 20 12.5747229959317 13.9984571339898
1285 -8.24738172626413 1.06493396765757 12.9606693813847 131.998805366697 20 12.5796394954496 14.0256033490423
1290 -8.27567526298148 1.06698742221195 12.9857234937162 131.966329680945 20 12.5845329082661 14.0527109159281
1295 -8.30400744752658 1.06903797672201 13.0107422574093 131.933884911243 20 12.5894033501237 14.0797802341313
1300 -8.33237619483589 1.07108566100646 13.0357260346573 131.901471061175 20 12.5942509367791 14.1068116956638
1305 -8.36077946705453 1.0731305043259 13.0606751808842 131.8690881327 20 12.5990757839878 14.1338056852101
1310 -8.38921527257714 1.07517253539365 13.0855900448753 131.836736126185 20 12.6038780074815 14.1607625802689
1315 -8.41768166510701 1.07721178238631 13.1104709689059 131.804415040447 20 12.6086577229536 14.1876827512922
1320 -8.44617674273328 1.07924827295416 13.1353182888675 131.772124872793 20 12.6134150460395 14.2145665618216
1325 -8.47469864702572 1.08128203423139 13.1601323343913 131.739865619058 20 12.6181500923011 14.2414143686227
1330 -8.50324556214699 1.08331309284615 13.1849134289698 131.707637273638 20 12.6228629772083 14.2682265218159
1335 -8.53181571398182 1.08534147493028 13.209661890076 131.675439829531 20 12.6275538161258 14.2950033650063
1340 -8.560407369283 1.08736720612907 13.2343780292803 131.643273278369 20 12.6322227242941 14.3217452354094
1345 -8.58901883483388 1.08939031161065 13.2590621523652 131.611137610455 20 12.6368698168178 14.3484524639758
1350 -8.6176484566269 1.09141081607534 13.2837145594381 131.579032814795 20 12.6414952086478 14.3751253755134
1355 -8.64629461905808 1.0934287437647 13.3083355450416 131.546958879132 20 12.6460990145691 14.4017642888063
1360 -8.67495574413707 1.09544411847054 13.3329253982624 131.514915789979 20 12.6506813491867 14.428369516733
1365 -8.70363029071249 1.09745696354365 13.3574844028371 131.482903532652 20 12.6552423269097 14.4549413663808
1370 -8.73231675371231 1.09946730190244 13.382012837257 131.450922091296 20 12.6597820619423 14.4814801391595
1375 -8.76101366339896 1.10147515604138 13.4065109748704 131.418971448922 20 12.6643006682674 14.5079861309118
1380 -8.78971958463898 1.10348054803927 13.4309790839831 131.387051587432 20 12.6687982596372 14.5344596320224
1385 -8.81843311618685 1.10548349956742 13.4554174279571 131.35516248765 20 12.6732749495584 14.5609009275245
1390 -8.84715288998278 1.10748403189759 13.4798262653074 131.323304129351 20 12.6777308512838 14.587310297205
1395 -8.87587757046426 1.10948216590982 13.5042058497965 131.291476491289 20 12.6821660777985 14.6136880157063
1400 -8.90460585389101 1.11147792210014 13.5285564305281 131.259679551221 20 12.6865807418099 14.6400343526282
1405 -8.93333646768318 1.11347132058808 13.5528782520379 131.227913285937 20 12.6909749557385 14.666349572626
1410 -8.96206816977254 1.11546238112404 13.5771715543838 131.196177671288 20 12.6953488317056 14.6926339355078
1415 -8.99079974796637 1.1174511230966 13.601436573233 131.164472682206 20 12.6997024815256 14.7188876963296
1420 -9.01953001932383 1.11943756553959 13.625673539949 131.132798292731 20 12.7040360166946 14.7451111054886
1425 -9.04825782954466 1.12142172713904 13.6498826816758 131.10115447604 20 12.7083495483824 14.7713044088148
1430 -9.0769820523699 1.12340362624011 13.6740642214208 131.069541204464 20 12.7126431874238 14.7974678476609
